round,test_acc,test_loss,elapsed_seconds,selected_clients,train_runtime_seconds
1,0.239644,,23.33,"[3, 16, 9]",10.58
2,0.42419,,23.3,"[8, 4, 3]",10.6
3,0.516994,,23.3,"[3, 9, 5]",10.58
4,0.565454,,23.37,"[11, 3, 13]",10.63
5,0.595459,,23.33,"[13, 15, 16]",10.58
6,0.615109,,23.35,"[19, 12, 3]",10.6
7,0.622013,,23.39,"[8, 5, 2]",10.58
8,0.637281,,23.42,"[11, 13, 16]",10.6
9,0.640998,,23.42,"[16, 18, 8]",10.64
10,0.647106,,23.59,"[8, 12, 15]",10.8
11,0.654673,,23.45,"[15, 19, 5]",10.61
12,0.659586,,23.43,"[18, 2, 5]",10.62
13,0.655868,,23.49,"[2, 4, 18]",10.68
14,0.660117,,23.48,"[17, 14, 2]",10.67
15,0.661445,,23.48,"[2, 9, 5]",10.65
16,0.668216,,23.47,"[10, 0, 14]",10.62
17,0.672066,,23.41,"[18, 14, 10]",10.61
18,0.671136,,23.41,"[5, 0, 1]",10.64
19,0.669942,,23.42,"[17, 12, 19]",10.64
20,0.674721,,23.4,"[7, 10, 15]",10.61
21,0.676713,,23.4,"[11, 14, 19]",10.6
22,0.674456,,23.37,"[17, 6, 19]",10.59
23,0.677642,,23.49,"[3, 19, 6]",10.65
24,0.680297,,23.45,"[3, 15, 0]",10.64
25,0.684546,,23.67,"[11, 4, 18]",10.67
26,0.683086,,23.43,"[1, 16, 9]",10.62
27,0.68428,,23.43,"[6, 8, 18]",10.62
28,0.680563,,23.44,"[16, 8, 5]",10.64
29,0.683749,,23.42,"[0, 5, 11]",10.64
30,0.681891,,23.43,"[13, 1, 19]",10.63
31,0.686537,,23.41,"[13, 10, 19]",10.62
32,0.684148,,23.37,"[10, 19, 7]",10.59
33,0.687069,,23.46,"[13, 6, 19]",10.64
34,0.688131,,23.47,"[16, 3, 9]",10.66
35,0.685874,,23.45,"[12, 5, 17]",10.65
36,0.687467,,23.44,"[7, 12, 8]",10.67
37,0.687998,,23.42,"[2, 12, 8]",10.63
38,0.68521,,23.43,"[2, 6, 17]",10.65
39,0.684413,,23.4,"[15, 1, 6]",10.6
40,0.687865,,23.4,"[2, 4, 9]",10.62
41,0.688131,,23.43,"[0, 12, 2]",10.61
42,0.686537,,23.4,"[7, 10, 3]",10.6
43,0.684546,,23.42,"[12, 9, 17]",10.63
44,0.686537,,23.42,"[13, 2, 0]",10.62
45,0.687865,,23.4,"[16, 5, 12]",10.64
46,0.686272,,23.37,"[9, 7, 4]",10.58
47,0.683351,,23.42,"[10, 15, 9]",10.63
48,0.681625,,23.37,"[10, 7, 14]",10.59
49,0.683218,,23.41,"[15, 1, 16]",10.58
50,0.686139,,23.43,"[19, 3, 5]",10.65
51,0.687334,,23.45,"[7, 0, 8]",10.67
52,0.686139,,23.4,"[7, 8, 0]",10.62
53,0.688662,,23.45,"[10, 6, 18]",10.61
54,0.687865,,23.42,"[7, 12, 1]",10.63
55,0.685874,,23.43,"[8, 10, 1]",10.62
56,0.688794,,23.42,"[10, 7, 13]",10.6
57,0.688131,,23.45,"[11, 2, 12]",10.64
58,0.688396,,23.44,"[11, 13, 2]",10.63
59,0.689591,,23.44,"[16, 10, 11]",10.61
60,0.689857,,23.45,"[2, 14, 16]",10.62
61,0.687069,,23.43,"[18, 17, 7]",10.63
62,0.689857,,23.48,"[4, 7, 12]",10.7
63,0.691317,,23.67,"[16, 6, 3]",10.62
64,0.690919,,23.4,"[2, 13, 11]",10.58
65,0.687865,,23.4,"[15, 10, 7]",10.59
66,0.690786,,23.44,"[14, 3, 19]",10.62
67,0.689458,,23.41,"[6, 2, 12]",10.61
68,0.689193,,23.35,"[13, 1, 7]",10.57
69,0.690786,,23.37,"[19, 13, 14]",10.58
70,0.691848,,23.45,"[4, 7, 11]",10.61
71,0.689989,,23.37,"[5, 9, 11]",10.6
72,0.690919,,23.42,"[14, 5, 2]",10.6
73,0.686006,,23.42,"[6, 3, 10]",10.62
74,0.690653,,23.39,"[10, 17, 12]",10.6
75,0.685608,,23.37,"[5, 6, 10]",10.57
76,0.684546,,23.48,"[7, 14, 15]",10.66
77,0.692777,,23.51,"[19, 1, 2]",10.69
78,0.692379,,23.4,"[7, 11, 9]",10.6
79,0.686537,,23.39,"[10, 17, 14]",10.63
80,0.689458,,23.47,"[3, 9, 17]",10.67
81,0.691848,,23.46,"[0, 11, 5]",10.66
82,0.692379,,23.46,"[4, 2, 15]",10.68
83,0.689591,,23.42,"[1, 8, 15]",10.61
84,0.688396,,23.45,"[6, 12, 4]",10.64
85,0.693043,,23.58,"[9, 1, 19]",10.69
86,0.691981,,23.48,"[7, 2, 4]",10.69
87,0.688529,,23.44,"[0, 11, 14]",10.64
88,0.691184,,23.4,"[15, 12, 18]",10.62
89,0.688794,,23.43,"[18, 9, 0]",10.62
90,0.690255,,23.39,"[14, 12, 3]",10.62
91,0.688662,,23.38,"[17, 14, 0]",10.6
92,0.688529,,23.42,"[17, 18, 3]",10.63
93,0.688263,,23.46,"[2, 15, 6]",10.66
94,0.690919,,23.47,"[11, 14, 10]",10.65
95,0.69145,,23.37,"[3, 13, 19]",10.58
96,0.692379,,23.43,"[18, 11, 9]",10.64
97,0.690786,,23.41,"[17, 8, 12]",10.61
98,0.691981,,23.5,"[4, 8, 12]",10.7
99,0.691848,,23.41,"[0, 1, 12]",10.63
100,0.692777,,23.48,"[0, 13, 8]",10.67
