round,test_acc,test_loss,elapsed_seconds,selected_clients,train_runtime_seconds
1,0.080324,,23.06,"[3, 16, 9]",10.47
2,0.210967,,22.73,"[8, 4, 3]",10.12
3,0.239777,,22.93,"[3, 9, 5]",10.29
4,0.413038,,22.92,"[11, 3, 13]",10.25
5,0.368295,,23.06,"[13, 15, 16]",10.37
6,0.421402,,22.93,"[19, 12, 3]",10.19
7,0.466941,,22.91,"[8, 5, 2]",10.18
8,0.517924,,23.05,"[11, 13, 16]",10.32
9,0.503983,,22.97,"[16, 18, 8]",10.28
10,0.496548,,22.82,"[8, 12, 15]",10.13
11,0.5624,,23.02,"[15, 19, 5]",10.28
12,0.503452,,22.98,"[18, 2, 5]",10.25
13,0.539033,,22.92,"[2, 4, 18]",10.17
14,0.540759,,23.04,"[17, 14, 2]",10.29
15,0.531466,,23.04,"[2, 9, 5]",10.29
16,0.517924,,22.71,"[10, 0, 14]",10.02
17,0.511418,,22.68,"[18, 14, 10]",9.99
18,0.541689,,22.99,"[5, 0, 1]",10.3
19,0.577536,,22.91,"[17, 12, 19]",10.21
20,0.599708,,22.83,"[7, 10, 15]",10.06
21,0.575544,,22.95,"[11, 14, 19]",10.26
22,0.607541,,23.06,"[17, 6, 19]",10.3
23,0.600239,,23.02,"[3, 19, 6]",10.28
24,0.617897,,23.02,"[3, 15, 0]",10.31
25,0.626925,,22.92,"[11, 4, 18]",10.15
26,0.625332,,23.1,"[1, 16, 9]",10.38
27,0.604355,,22.95,"[6, 8, 18]",10.2
28,0.607408,,22.95,"[16, 8, 5]",10.26
29,0.583245,,23.01,"[0, 5, 11]",10.26
30,0.620818,,23.0,"[13, 1, 19]",10.3
31,0.597849,,22.7,"[13, 10, 19]",10.0
32,0.597185,,22.79,"[10, 19, 7]",10.04
33,0.59307,,23.05,"[13, 6, 19]",10.3
34,0.633431,,23.09,"[16, 3, 9]",10.37
35,0.635289,,22.92,"[12, 5, 17]",10.21
36,0.621614,,22.86,"[7, 12, 8]",10.17
37,0.621349,,22.85,"[2, 12, 8]",10.1
38,0.618295,,23.05,"[2, 6, 17]",10.3
39,0.62427,,23.01,"[15, 1, 6]",10.3
40,0.618428,,22.91,"[2, 4, 9]",10.21
41,0.614445,,22.89,"[0, 12, 2]",10.2
42,0.632236,,22.74,"[7, 10, 3]",10.05
43,0.626925,,22.95,"[12, 9, 17]",10.25
44,0.61949,,22.99,"[13, 2, 0]",10.3
45,0.628253,,22.95,"[16, 5, 12]",10.25
46,0.635024,,23.03,"[9, 7, 4]",10.28
47,0.623606,,22.73,"[10, 15, 9]",10.04
48,0.619888,,22.77,"[10, 7, 14]",10.07
49,0.646044,,23.07,"[15, 1, 16]",10.36
50,0.632501,,23.02,"[19, 3, 5]",10.27
51,0.635157,,22.97,"[7, 0, 8]",10.27
52,0.627589,,22.96,"[7, 8, 0]",10.27
53,0.6094,,22.68,"[10, 6, 18]",9.99
54,0.612055,,22.96,"[7, 12, 1]",10.26
55,0.651487,,22.63,"[8, 10, 1]",9.92
56,0.642061,,22.76,"[10, 7, 13]",10.06
57,0.635024,,22.84,"[11, 2, 12]",10.14
58,0.647238,,22.99,"[11, 13, 2]",10.24
59,0.633829,,22.71,"[16, 10, 11]",10.02
60,0.650027,,23.02,"[2, 14, 16]",10.33
61,0.624004,,23.09,"[18, 17, 7]",10.34
62,0.638476,,22.91,"[4, 7, 12]",10.17
63,0.646176,,23.04,"[16, 6, 3]",10.35
64,0.660913,,22.95,"[2, 13, 11]",10.25
65,0.653346,,22.75,"[15, 10, 7]",10.06
66,0.633431,,22.98,"[14, 3, 19]",10.28
67,0.620552,,22.87,"[6, 2, 12]",10.18
68,0.649097,,23.05,"[13, 1, 7]",10.36
69,0.625066,,22.99,"[19, 13, 14]",10.29
70,0.650558,,22.9,"[4, 7, 11]",10.22
71,0.644849,,22.97,"[5, 9, 11]",10.27
72,0.637414,,22.96,"[14, 5, 2]",10.26
73,0.647371,,22.74,"[6, 3, 10]",10.0
74,0.646973,,22.66,"[10, 17, 12]",9.93
75,0.639007,,22.69,"[5, 6, 10]",9.99
76,0.648301,,23.04,"[7, 14, 15]",10.35
77,0.650159,,22.95,"[19, 1, 2]",10.26
78,0.652284,,23.07,"[7, 11, 9]",10.33
79,0.637414,,22.7,"[10, 17, 14]",10.02
80,0.632501,,23.02,"[3, 9, 17]",10.33
81,0.629846,,22.95,"[0, 11, 5]",10.26
82,0.65069,,22.92,"[4, 2, 15]",10.19
83,0.660117,,22.91,"[1, 8, 15]",10.22
84,0.654939,,22.85,"[6, 12, 4]",10.12
85,0.663038,,23.02,"[9, 1, 19]",10.32
86,0.650292,,22.92,"[7, 2, 4]",10.23
87,0.631174,,22.98,"[0, 11, 14]",10.27
88,0.627722,,22.92,"[15, 12, 18]",10.2
89,0.612586,,23.02,"[18, 9, 0]",10.32
90,0.644849,,22.9,"[14, 12, 3]",10.2
91,0.64445,,23.02,"[17, 14, 0]",10.33
92,0.628784,,22.99,"[17, 18, 3]",10.29
93,0.655603,,22.97,"[2, 15, 6]",10.28
94,0.647371,,22.66,"[11, 14, 10]",9.97
95,0.65308,,22.98,"[3, 13, 19]",10.29
96,0.641662,,22.98,"[18, 11, 9]",10.27
97,0.658789,,22.82,"[17, 8, 12]",10.13
98,0.660913,,22.73,"[4, 8, 12]",10.04
99,0.632501,,22.91,"[0, 1, 12]",10.22
100,0.642193,,22.93,"[0, 13, 8]",10.24
