round,test_acc,test_loss,elapsed_seconds,selected_clients,train_runtime_seconds
1,0.08205,,23.39,"[3, 16, 9]",10.65
2,0.167153,,23.25,"[8, 4, 3]",10.51
3,0.22265,,23.35,"[3, 9, 5]",10.59
4,0.38197,,23.43,"[11, 3, 13]",10.59
5,0.366304,,23.47,"[13, 15, 16]",10.69
6,0.412507,,23.35,"[19, 12, 3]",10.54
7,0.456585,,23.28,"[8, 5, 2]",10.48
8,0.522969,,23.5,"[11, 13, 16]",10.67
9,0.504514,,23.37,"[16, 18, 8]",10.58
10,0.502124,,23.31,"[8, 12, 15]",10.53
11,0.555497,,23.45,"[15, 19, 5]",10.66
12,0.502523,,23.32,"[18, 2, 5]",10.55
13,0.543016,,23.32,"[2, 4, 18]",10.56
14,0.546734,,23.39,"[17, 14, 2]",10.61
15,0.54992,,23.35,"[2, 9, 5]",10.59
16,0.528279,,23.25,"[10, 0, 14]",10.48
17,0.509426,,23.2,"[18, 14, 10]",10.41
18,0.565321,,23.64,"[5, 0, 1]",10.62
19,0.579129,,23.33,"[17, 12, 19]",10.53
20,0.612852,,23.38,"[7, 10, 15]",10.56
21,0.580457,,23.43,"[11, 14, 19]",10.64
22,0.612852,,23.42,"[17, 6, 19]",10.62
23,0.601567,,23.4,"[3, 19, 6]",10.62
24,0.618561,,23.43,"[3, 15, 0]",10.6
25,0.622146,,23.48,"[11, 4, 18]",10.66
26,0.625996,,23.52,"[1, 16, 9]",10.72
27,0.617631,,23.36,"[6, 8, 18]",10.58
28,0.616437,,23.33,"[16, 8, 5]",10.56
29,0.594397,,23.3,"[0, 5, 11]",10.55
30,0.631837,,23.54,"[13, 1, 19]",10.55
31,0.605284,,23.19,"[13, 10, 19]",10.42
32,0.61179,,23.23,"[10, 19, 7]",10.45
33,0.607276,,23.41,"[13, 6, 19]",10.62
34,0.634891,,23.48,"[16, 3, 9]",10.68
35,0.63914,,23.26,"[12, 5, 17]",10.5
36,0.62666,,23.28,"[7, 12, 8]",10.48
37,0.625863,,23.27,"[2, 12, 8]",10.5
38,0.630112,,23.3,"[2, 6, 17]",10.53
39,0.632634,,23.35,"[15, 1, 6]",10.59
40,0.627854,,23.32,"[2, 4, 9]",10.53
41,0.626925,,23.35,"[0, 12, 2]",10.58
42,0.644981,,23.25,"[7, 10, 3]",10.41
43,0.631705,,23.34,"[12, 9, 17]",10.55
44,0.641264,,23.33,"[13, 2, 0]",10.56
45,0.638078,,23.35,"[16, 5, 12]",10.56
46,0.638343,,23.45,"[9, 7, 4]",10.65
47,0.639936,,23.27,"[10, 15, 9]",10.48
48,0.627854,,23.25,"[10, 7, 14]",10.47
49,0.641795,,23.43,"[15, 1, 16]",10.65
50,0.638741,,23.35,"[19, 3, 5]",10.57
51,0.647238,,23.42,"[7, 0, 8]",10.62
52,0.638476,,23.35,"[7, 8, 0]",10.57
53,0.621747,,23.22,"[10, 6, 18]",10.42
54,0.631572,,23.38,"[7, 12, 1]",10.59
55,0.65162,,23.25,"[8, 10, 1]",10.43
56,0.655868,,23.31,"[10, 7, 13]",10.46
57,0.632369,,23.29,"[11, 2, 12]",10.5
58,0.654142,,23.38,"[11, 13, 2]",10.6
59,0.640866,,23.26,"[16, 10, 11]",10.47
60,0.647238,,23.44,"[2, 14, 16]",10.66
61,0.635024,,23.36,"[18, 17, 7]",10.6
62,0.649363,,23.3,"[4, 7, 12]",10.53
63,0.649761,,23.4,"[16, 6, 3]",10.64
64,0.659984,,23.44,"[2, 13, 11]",10.59
65,0.658125,,23.29,"[15, 10, 7]",10.5
66,0.629846,,23.34,"[14, 3, 19]",10.57
67,0.638343,,23.29,"[6, 2, 12]",10.51
68,0.659719,,23.42,"[13, 1, 7]",10.65
69,0.627191,,23.47,"[19, 13, 14]",10.67
70,0.650823,,23.42,"[4, 7, 11]",10.64
71,0.640202,,23.43,"[5, 9, 11]",10.64
72,0.640335,,23.35,"[14, 5, 2]",10.56
73,0.660648,,23.27,"[6, 3, 10]",10.47
74,0.657329,,23.17,"[10, 17, 12]",10.38
75,0.643654,,23.16,"[5, 6, 10]",10.39
76,0.656001,,23.43,"[7, 14, 15]",10.66
77,0.660117,,23.36,"[19, 1, 2]",10.58
78,0.660781,,23.48,"[7, 11, 9]",10.66
79,0.644052,,23.25,"[10, 17, 14]",10.45
80,0.641662,,23.38,"[3, 9, 17]",10.6
81,0.635422,,23.4,"[0, 11, 5]",10.61
82,0.655072,,23.35,"[4, 2, 15]",10.56
83,0.663303,,23.36,"[1, 8, 15]",10.55
84,0.652815,,23.33,"[6, 12, 4]",10.55
85,0.668348,,23.48,"[9, 1, 19]",10.67
86,0.658258,,23.44,"[7, 2, 4]",10.64
87,0.629049,,23.42,"[0, 11, 14]",10.62
88,0.641928,,23.37,"[15, 12, 18]",10.6
89,0.62042,,23.43,"[18, 9, 0]",10.67
90,0.645645,,23.34,"[14, 12, 3]",10.55
91,0.647238,,23.45,"[17, 14, 0]",10.67
92,0.642592,,23.41,"[17, 18, 3]",10.64
93,0.658524,,23.33,"[2, 15, 6]",10.56
94,0.639671,,23.38,"[11, 14, 10]",10.6
95,0.653744,,23.33,"[3, 13, 19]",10.56
96,0.654806,,23.31,"[18, 11, 9]",10.56
97,0.661046,,23.21,"[17, 8, 12]",10.43
98,0.661976,,23.25,"[4, 8, 12]",10.46
99,0.651487,,23.35,"[0, 1, 12]",10.58
100,0.646309,,23.32,"[0, 13, 8]",10.55
