round,test_acc,test_loss,elapsed_seconds,selected_clients,train_runtime_seconds
1,0.194238,,18.16,"[3, 16, 9]",8.34
2,0.341476,,17.76,"[8, 4, 3]",7.99
3,0.397371,,17.86,"[3, 9, 5]",8.1
4,0.469464,,17.91,"[11, 3, 13]",8.1
5,0.429766,,18.08,"[13, 15, 16]",8.25
6,0.48991,,17.9,"[19, 12, 3]",8.1
7,0.50146,,17.92,"[8, 5, 2]",8.1
8,0.554169,,17.99,"[11, 13, 16]",8.16
9,0.531599,,17.88,"[16, 18, 8]",8.08
10,0.543946,,17.75,"[8, 12, 15]",7.95
11,0.579395,,17.9,"[15, 19, 5]",8.1
12,0.524695,,17.97,"[18, 2, 5]",8.14
13,0.559347,,17.95,"[2, 4, 18]",8.1
14,0.552974,,17.98,"[17, 14, 2]",8.15
15,0.555231,,17.96,"[2, 9, 5]",8.12
16,0.535183,,17.87,"[10, 0, 14]",8.01
17,0.528147,,17.78,"[18, 14, 10]",7.96
18,0.578996,,17.92,"[5, 0, 1]",8.11
19,0.600239,,17.79,"[17, 12, 19]",8.0
20,0.600106,,17.8,"[7, 10, 15]",7.98
21,0.576872,,17.97,"[11, 14, 19]",8.13
22,0.640733,,17.94,"[17, 6, 19]",8.12
23,0.613781,,18.0,"[3, 19, 6]",8.14
24,0.622278,,17.93,"[3, 15, 0]",8.14
25,0.625465,,17.88,"[11, 4, 18]",8.05
26,0.634493,,18.0,"[1, 16, 9]",8.19
27,0.615773,,17.75,"[6, 8, 18]",7.98
28,0.624801,,17.8,"[16, 8, 5]",8.04
29,0.588688,,17.9,"[0, 5, 11]",8.09
30,0.629979,,17.94,"[13, 1, 19]",8.12
31,0.606612,,17.75,"[13, 10, 19]",7.93
32,0.620552,,17.81,"[10, 19, 7]",7.98
33,0.597318,,17.89,"[13, 6, 19]",8.1
34,0.629979,,17.89,"[16, 3, 9]",8.12
35,0.641662,,17.81,"[12, 5, 17]",8.01
36,0.621349,,17.74,"[7, 12, 8]",7.96
37,0.63051,,17.76,"[2, 12, 8]",7.97
38,0.618428,,17.97,"[2, 6, 17]",8.05
39,0.648964,,18.09,"[15, 1, 6]",8.27
40,0.617897,,18.0,"[2, 4, 9]",8.16
41,0.619225,,17.86,"[0, 12, 2]",8.03
42,0.644981,,17.72,"[7, 10, 3]",7.91
43,0.630112,,17.92,"[12, 9, 17]",8.11
44,0.612985,,17.94,"[13, 2, 0]",8.11
45,0.640866,,17.86,"[16, 5, 12]",8.06
46,0.633563,,17.95,"[9, 7, 4]",8.16
47,0.624934,,17.74,"[10, 15, 9]",7.97
48,0.637945,,17.61,"[10, 7, 14]",7.85
49,0.638609,,17.91,"[15, 1, 16]",8.13
50,0.634227,,17.87,"[19, 3, 5]",8.03
51,0.640866,,17.99,"[7, 0, 8]",8.15
52,0.635555,,17.94,"[7, 8, 0]",8.11
53,0.602496,,17.73,"[10, 6, 18]",7.94
54,0.622544,,17.8,"[7, 12, 1]",8.03
55,0.650159,,17.65,"[8, 10, 1]",7.84
56,0.65162,,17.79,"[10, 7, 13]",7.96
57,0.623075,,17.79,"[11, 2, 12]",7.99
58,0.64923,,17.81,"[11, 13, 2]",8.05
59,0.627987,,17.65,"[16, 10, 11]",7.87
60,0.646575,,17.94,"[2, 14, 16]",8.07
61,0.622677,,18.32,"[18, 17, 7]",8.3
62,0.642326,,18.14,"[4, 7, 12]",8.23
63,0.642857,,18.23,"[16, 6, 3]",8.36
64,0.651221,,18.17,"[2, 13, 11]",8.26
65,0.651753,,18.16,"[15, 10, 7]",8.24
66,0.628651,,18.11,"[14, 3, 19]",8.26
67,0.626925,,18.01,"[6, 2, 12]",8.14
68,0.659453,,18.17,"[13, 1, 7]",8.29
69,0.612586,,18.16,"[19, 13, 14]",8.26
70,0.659984,,18.02,"[4, 7, 11]",8.19
71,0.637945,,17.89,"[5, 9, 11]",8.1
72,0.63582,,17.89,"[14, 5, 2]",8.1
73,0.6406,,17.77,"[6, 3, 10]",7.87
74,0.653611,,17.97,"[10, 17, 12]",8.02
75,0.636352,,18.1,"[5, 6, 10]",8.13
76,0.649495,,18.25,"[7, 14, 15]",8.36
77,0.658258,,18.14,"[19, 1, 2]",8.28
78,0.656399,,18.13,"[7, 11, 9]",8.3
79,0.640998,,17.78,"[10, 17, 14]",7.93
80,0.630643,,17.99,"[3, 9, 17]",8.19
81,0.627058,,17.95,"[0, 11, 5]",8.16
82,0.637015,,17.91,"[4, 2, 15]",8.09
83,0.65693,,17.86,"[1, 8, 15]",8.05
84,0.65401,,17.84,"[6, 12, 4]",8.01
85,0.652416,,18.07,"[9, 1, 19]",8.21
86,0.654275,,18.09,"[7, 2, 4]",8.2
87,0.62427,,17.98,"[0, 11, 14]",8.16
88,0.610462,,17.89,"[15, 12, 18]",8.09
89,0.612321,,18.06,"[18, 9, 0]",8.2
90,0.639538,,17.86,"[14, 12, 3]",8.06
91,0.637679,,17.98,"[17, 14, 0]",8.17
92,0.636484,,17.98,"[17, 18, 3]",8.16
93,0.655337,,17.9,"[2, 15, 6]",8.1
94,0.65162,,17.75,"[11, 14, 10]",7.92
95,0.644849,,18.07,"[3, 13, 19]",8.2
96,0.641928,,18.03,"[18, 11, 9]",8.18
97,0.665162,,17.91,"[17, 8, 12]",8.09
98,0.663303,,17.86,"[4, 8, 12]",8.05
99,0.650558,,17.98,"[0, 1, 12]",8.15
100,0.647902,,17.96,"[0, 13, 8]",8.11
