round,test_acc,test_loss,elapsed_seconds,selected_clients,train_runtime_seconds
1,0.086962,,47.4,"[3, 16, 9]",30.5
2,0.176182,,46.75,"[8, 4, 3]",29.88
3,0.223845,,45.48,"[3, 9, 5]",28.6
4,0.368295,,45.42,"[11, 3, 13]",28.52
5,0.36179,,45.73,"[13, 15, 16]",28.85
6,0.403346,,45.41,"[19, 12, 3]",28.48
7,0.462958,,46.88,"[8, 5, 2]",29.36
8,0.522438,,45.0,"[11, 13, 16]",28.02
9,0.504249,,45.28,"[16, 18, 8]",28.41
10,0.503319,,46.98,"[8, 12, 15]",30.1
11,0.563463,,46.11,"[15, 19, 5]",29.16
12,0.503717,,46.24,"[18, 2, 5]",29.36
13,0.532793,,45.49,"[2, 4, 18]",28.64
14,0.533856,,43.83,"[17, 14, 2]",26.98
15,0.539697,,45.64,"[2, 9, 5]",28.45
16,0.520313,,46.31,"[10, 0, 14]",29.39
17,0.509958,,46.03,"[18, 14, 10]",29.06
18,0.556426,,45.24,"[5, 0, 1]",28.33
19,0.584041,,44.51,"[17, 12, 19]",27.61
20,0.594663,,44.79,"[7, 10, 15]",27.88
21,0.577403,,44.92,"[11, 14, 19]",27.99
22,0.605284,,44.89,"[17, 6, 19]",27.97
23,0.59453,,44.93,"[3, 19, 6]",27.99
24,0.613383,,45.04,"[3, 15, 0]",28.11
25,0.621083,,44.72,"[11, 4, 18]",27.75
26,0.620818,,46.22,"[1, 16, 9]",29.35
27,0.60701,,47.71,"[6, 8, 18]",30.82
28,0.606346,,46.39,"[16, 8, 5]",29.5
29,0.598247,,46.26,"[0, 5, 11]",29.39
30,0.622013,,47.64,"[13, 1, 19]",30.77
31,0.606213,,44.55,"[13, 10, 19]",27.7
32,0.597982,,46.97,"[10, 19, 7]",30.13
33,0.59931,,45.41,"[13, 6, 19]",28.48
34,0.627589,,46.1,"[16, 3, 9]",29.24
35,0.637812,,47.26,"[12, 5, 17]",30.38
36,0.621482,,46.87,"[7, 12, 8]",29.79
37,0.623473,,45.91,"[2, 12, 8]",29.06
38,0.627854,,45.1,"[2, 6, 17]",28.25
39,0.631837,,45.45,"[15, 1, 6]",28.55
40,0.620021,,44.84,"[2, 4, 9]",27.97
41,0.621747,,44.88,"[0, 12, 2]",27.94
42,0.635024,,46.02,"[7, 10, 3]",29.18
43,0.637015,,45.85,"[12, 9, 17]",28.96
44,0.619756,,44.76,"[13, 2, 0]",27.87
45,0.625996,,49.36,"[16, 5, 12]",32.27
46,0.641529,,49.13,"[9, 7, 4]",32.03
47,0.615773,,46.45,"[10, 15, 9]",29.63
48,0.62427,,45.59,"[10, 7, 14]",28.74
49,0.642326,,46.71,"[15, 1, 16]",29.71
50,0.63582,,45.4,"[19, 3, 5]",28.54
51,0.641529,,45.11,"[7, 0, 8]",28.26
52,0.632369,,44.71,"[7, 8, 0]",27.87
53,0.601168,,44.74,"[10, 6, 18]",27.89
54,0.627722,,44.7,"[7, 12, 1]",27.84
55,0.648035,,45.22,"[8, 10, 1]",28.36
56,0.641662,,47.09,"[10, 7, 13]",29.67
57,0.639671,,45.96,"[11, 2, 12]",29.08
58,0.647902,,44.69,"[11, 13, 2]",27.84
59,0.634493,,47.27,"[16, 10, 11]",30.43
60,0.652284,,45.94,"[2, 14, 16]",29.08
61,0.631174,,46.62,"[18, 17, 7]",29.78
62,0.637945,,44.74,"[4, 7, 12]",27.89
63,0.641662,,44.67,"[16, 6, 3]",27.82
64,0.653213,,45.17,"[2, 13, 11]",28.28
65,0.650425,,46.88,"[15, 10, 7]",30.01
66,0.625863,,46.14,"[14, 3, 19]",29.27
67,0.628651,,44.06,"[6, 2, 12]",27.21
68,0.651221,,45.03,"[13, 1, 7]",28.17
69,0.634095,,44.51,"[19, 13, 14]",27.66
70,0.64777,,44.51,"[4, 7, 11]",27.64
71,0.635157,,45.14,"[5, 9, 11]",28.28
72,0.635422,,45.22,"[14, 5, 2]",28.26
73,0.65308,,44.33,"[6, 3, 10]",27.48
74,0.651089,,42.77,"[10, 17, 12]",25.93
75,0.641397,,43.58,"[5, 6, 10]",26.73
76,0.651885,,44.8,"[7, 14, 15]",27.9
77,0.654275,,44.63,"[19, 1, 2]",27.74
78,0.658922,,44.57,"[7, 11, 9]",27.7
79,0.638874,,44.7,"[10, 17, 14]",27.81
80,0.635289,,44.82,"[3, 9, 17]",27.97
81,0.624668,,44.69,"[0, 11, 5]",27.84
82,0.650823,,44.94,"[4, 2, 15]",28.08
83,0.660117,,44.87,"[1, 8, 15]",28.01
84,0.65308,,44.77,"[6, 12, 4]",27.91
85,0.663834,,43.85,"[9, 1, 19]",26.87
86,0.65069,,44.0,"[7, 2, 4]",27.09
87,0.63582,,43.76,"[0, 11, 14]",26.86
88,0.628784,,45.2,"[15, 12, 18]",28.35
89,0.604222,,44.91,"[18, 9, 0]",28.06
90,0.645114,,44.94,"[14, 12, 3]",28.09
91,0.639007,,45.11,"[17, 14, 0]",28.24
92,0.629049,,45.63,"[17, 18, 3]",28.75
93,0.658125,,46.37,"[2, 15, 6]",29.49
94,0.646973,,45.02,"[11, 14, 10]",28.18
95,0.648566,,45.77,"[3, 13, 19]",28.94
96,0.639272,,45.44,"[18, 11, 9]",28.58
97,0.659055,,45.95,"[17, 8, 12]",29.11
98,0.663569,,45.32,"[4, 8, 12]",28.34
99,0.643388,,45.24,"[0, 1, 12]",28.38
100,0.636352,,43.83,"[0, 13, 8]",26.99
