round,test_acc,test_loss,elapsed_seconds,selected_clients,train_runtime_seconds
1,0.081519,,33.33,"[3, 16, 9]",16.37
2,0.14299,,32.78,"[8, 4, 3]",15.73
3,0.210037,,32.86,"[3, 9, 5]",15.73
4,0.3594,,33.3,"[11, 3, 13]",16.17
5,0.358205,,34.26,"[13, 15, 16]",17.12
6,0.391662,,33.5,"[19, 12, 3]",16.27
7,0.452602,,33.05,"[8, 5, 2]",15.88
8,0.519782,,33.13,"[11, 13, 16]",15.94
9,0.497079,,32.86,"[16, 18, 8]",15.7
10,0.493229,,32.75,"[8, 12, 15]",15.59
11,0.553107,,33.47,"[15, 19, 5]",16.28
12,0.490308,,33.56,"[18, 2, 5]",16.41
13,0.530536,,33.16,"[2, 4, 18]",16.01
14,0.547929,,33.3,"[17, 14, 2]",16.16
15,0.540096,,33.13,"[2, 9, 5]",15.97
16,0.520579,,32.73,"[10, 0, 14]",15.57
17,0.501593,,33.2,"[18, 14, 10]",16.05
18,0.555895,,33.29,"[5, 0, 1]",16.13
19,0.574349,,32.77,"[17, 12, 19]",15.6
20,0.611391,,34.52,"[7, 10, 15]",17.3
21,0.573686,,34.65,"[11, 14, 19]",17.51
22,0.612586,,32.85,"[17, 6, 19]",15.68
23,0.605019,,33.56,"[3, 19, 6]",16.4
24,0.619623,,33.66,"[3, 15, 0]",16.45
25,0.623473,,33.21,"[11, 4, 18]",16.04
26,0.627987,,33.51,"[1, 16, 9]",16.29
27,0.61564,,33.35,"[6, 8, 18]",16.21
28,0.610595,,32.76,"[16, 8, 5]",15.61
29,0.584572,,32.93,"[0, 5, 11]",15.78
30,0.634891,,33.27,"[13, 1, 19]",16.08
31,0.607541,,33.39,"[13, 10, 19]",16.25
32,0.61179,,33.01,"[10, 19, 7]",15.88
33,0.608736,,33.45,"[13, 6, 19]",16.31
34,0.640467,,32.96,"[16, 3, 9]",15.78
35,0.644716,,32.76,"[12, 5, 17]",15.58
36,0.624934,,33.4,"[7, 12, 8]",16.25
37,0.624668,,33.41,"[2, 12, 8]",16.28
38,0.62573,,33.12,"[2, 6, 17]",15.98
39,0.636086,,33.27,"[15, 1, 6]",16.13
40,0.622809,,33.21,"[2, 4, 9]",16.06
41,0.627854,,33.52,"[0, 12, 2]",16.37
42,0.642592,,32.76,"[7, 10, 3]",15.61
43,0.6329,,32.82,"[12, 9, 17]",15.67
44,0.634095,,32.83,"[13, 2, 0]",15.67
45,0.635024,,33.79,"[16, 5, 12]",16.66
46,0.642193,,32.75,"[9, 7, 4]",15.6
47,0.644052,,32.79,"[10, 15, 9]",15.62
48,0.633298,,33.33,"[10, 7, 14]",16.19
49,0.646575,,33.27,"[15, 1, 16]",16.09
50,0.640866,,32.77,"[19, 3, 5]",15.6
51,0.642724,,32.92,"[7, 0, 8]",15.77
52,0.633962,,32.75,"[7, 8, 0]",15.6
53,0.61086,,33.36,"[10, 6, 18]",16.21
54,0.630377,,33.84,"[7, 12, 1]",16.69
55,0.649495,,33.28,"[8, 10, 1]",16.11
56,0.651885,,33.3,"[10, 7, 13]",16.11
57,0.637281,,33.39,"[11, 2, 12]",16.22
58,0.649495,,32.85,"[11, 13, 2]",15.68
59,0.639671,,32.78,"[16, 10, 11]",15.61
60,0.655736,,32.96,"[2, 14, 16]",15.76
61,0.636617,,33.07,"[18, 17, 7]",15.9
62,0.649097,,32.87,"[4, 7, 12]",15.7
63,0.652018,,33.29,"[16, 6, 3]",16.12
64,0.65401,,33.02,"[2, 13, 11]",15.85
65,0.656134,,33.18,"[15, 10, 7]",15.99
66,0.627191,,33.04,"[14, 3, 19]",15.86
67,0.634626,,33.39,"[6, 2, 12]",16.22
68,0.655337,,33.59,"[13, 1, 7]",16.43
69,0.625066,,33.2,"[19, 13, 14]",16.02
70,0.654939,,33.52,"[4, 7, 11]",16.36
71,0.64923,,33.4,"[5, 9, 11]",16.24
72,0.645247,,33.21,"[14, 5, 2]",16.04
73,0.657063,,33.71,"[6, 3, 10]",16.52
74,0.660515,,33.8,"[10, 17, 12]",16.61
75,0.650292,,33.25,"[5, 6, 10]",16.1
76,0.660648,,33.79,"[7, 14, 15]",16.59
77,0.664365,,33.02,"[19, 1, 2]",15.81
78,0.661046,,33.44,"[7, 11, 9]",16.26
79,0.649894,,33.04,"[10, 17, 14]",15.87
80,0.641795,,33.59,"[3, 9, 17]",16.42
81,0.643654,,33.47,"[0, 11, 5]",16.31
82,0.656399,,32.99,"[4, 2, 15]",15.82
83,0.669809,,32.85,"[1, 8, 15]",15.65
84,0.656532,,32.92,"[6, 12, 4]",15.76
85,0.666622,,32.76,"[9, 1, 19]",15.61
86,0.661312,,32.76,"[7, 2, 4]",15.61
87,0.629448,,32.77,"[0, 11, 14]",15.61
88,0.643388,,32.76,"[15, 12, 18]",15.61
89,0.616835,,32.77,"[18, 9, 0]",15.61
90,0.650292,,33.12,"[14, 12, 3]",15.97
91,0.652284,,32.99,"[17, 14, 0]",15.84
92,0.643787,,33.11,"[17, 18, 3]",15.96
93,0.662241,,33.3,"[2, 15, 6]",16.15
94,0.647902,,33.19,"[11, 14, 10]",16.05
95,0.654275,,32.74,"[3, 13, 19]",15.59
96,0.65069,,32.79,"[18, 11, 9]",15.63
97,0.665029,,33.03,"[17, 8, 12]",15.87
98,0.661843,,33.23,"[4, 8, 12]",16.08
99,0.644185,,32.94,"[0, 1, 12]",15.79
100,0.638609,,33.13,"[0, 13, 8]",15.98
