round,test_acc,test_loss,elapsed_seconds,selected_clients,train_runtime_seconds
1,0.213224,,12.88,"[3, 16, 9]",3.67
2,0.389671,,12.57,"[8, 4, 3]",3.44
3,0.390335,,12.56,"[3, 9, 5]",3.44
4,0.445698,,12.6,"[11, 3, 13]",3.45
5,0.456585,,12.6,"[13, 15, 16]",3.44
6,0.471455,,12.8,"[19, 12, 3]",3.43
7,0.480085,,13.26,"[8, 5, 2]",3.47
8,0.490175,,12.62,"[11, 13, 16]",3.44
9,0.50239,,12.63,"[16, 18, 8]",3.43
10,0.514206,,12.66,"[8, 12, 15]",3.43
11,0.525491,,12.66,"[15, 19, 5]",3.45
12,0.526022,,12.69,"[18, 2, 5]",3.44
13,0.530005,,12.66,"[2, 4, 18]",3.43
14,0.53598,,12.7,"[17, 14, 2]",3.45
15,0.536113,,12.67,"[2, 9, 5]",3.44
16,0.540759,,12.67,"[10, 0, 14]",3.43
17,0.551779,,12.69,"[18, 14, 10]",3.45
18,0.553107,,12.71,"[5, 0, 1]",3.47
19,0.555098,,12.74,"[17, 12, 19]",3.46
20,0.551514,,12.74,"[7, 10, 15]",3.46
21,0.563861,,12.66,"[11, 14, 19]",3.44
22,0.560276,,12.73,"[17, 6, 19]",3.47
23,0.563994,,12.71,"[3, 19, 6]",3.44
24,0.55948,,12.71,"[3, 15, 0]",3.44
25,0.568109,,12.73,"[11, 4, 18]",3.45
26,0.567844,,12.72,"[1, 16, 9]",3.46
27,0.567844,,12.7,"[6, 8, 18]",3.47
28,0.571561,,12.68,"[16, 8, 5]",3.45
29,0.575544,,12.69,"[0, 5, 11]",3.45
30,0.578731,,12.7,"[13, 1, 19]",3.46
31,0.577403,,12.71,"[13, 10, 19]",3.45
32,0.579527,,12.74,"[10, 19, 7]",3.48
33,0.581253,,12.73,"[13, 6, 19]",3.44
34,0.575146,,12.71,"[16, 3, 9]",3.45
35,0.582581,,12.75,"[12, 5, 17]",3.48
36,0.583643,,12.73,"[7, 12, 8]",3.46
37,0.584307,,12.74,"[2, 12, 8]",3.44
38,0.582315,,12.69,"[2, 6, 17]",3.46
39,0.583112,,12.71,"[15, 1, 6]",3.44
40,0.589087,,12.7,"[2, 4, 9]",3.45
41,0.58829,,12.7,"[0, 12, 2]",3.43
42,0.582847,,12.71,"[7, 10, 3]",3.44
43,0.592804,,12.71,"[12, 9, 17]",3.44
44,0.591344,,12.7,"[13, 2, 0]",3.46
45,0.591211,,12.71,"[16, 5, 12]",3.44
46,0.593335,,12.73,"[9, 7, 4]",3.45
47,0.593202,,12.76,"[10, 15, 9]",3.48
48,0.591211,,12.77,"[10, 7, 14]",3.46
49,0.593468,,12.95,"[15, 1, 16]",3.47
50,0.596123,,12.68,"[19, 3, 5]",3.45
51,0.592937,,12.74,"[7, 0, 8]",3.46
52,0.593733,,12.69,"[7, 8, 0]",3.46
53,0.597982,,12.7,"[10, 6, 18]",3.45
54,0.595858,,12.73,"[7, 12, 1]",3.45
55,0.594397,,12.7,"[8, 10, 1]",3.45
56,0.596389,,12.77,"[10, 7, 13]",3.46
57,0.600106,,12.74,"[11, 2, 12]",3.5
58,0.600637,,12.72,"[11, 13, 2]",3.45
59,0.600637,,12.69,"[16, 10, 11]",3.46
60,0.600903,,12.74,"[2, 14, 16]",3.45
61,0.600505,,12.65,"[18, 17, 7]",3.44
62,0.601699,,12.69,"[4, 7, 12]",3.44
63,0.600637,,12.71,"[16, 6, 3]",3.47
64,0.603425,,12.72,"[2, 13, 11]",3.45
65,0.599177,,12.72,"[15, 10, 7]",3.44
66,0.604222,,12.74,"[14, 3, 19]",3.45
67,0.60316,,12.7,"[6, 2, 12]",3.45
68,0.604089,,12.67,"[13, 1, 7]",3.43
69,0.60462,,12.7,"[19, 13, 14]",3.43
70,0.604886,,12.7,"[4, 7, 11]",3.46
71,0.608869,,12.76,"[5, 9, 11]",3.45
72,0.609002,,12.73,"[14, 5, 2]",3.45
73,0.603956,,12.74,"[6, 3, 10]",3.48
74,0.604886,,12.72,"[10, 17, 12]",3.45
75,0.606612,,12.7,"[5, 6, 10]",3.44
76,0.607939,,12.75,"[7, 14, 15]",3.45
77,0.605815,,12.69,"[19, 1, 2]",3.45
78,0.609134,,12.75,"[7, 11, 9]",3.46
79,0.607807,,12.7,"[10, 17, 14]",3.46
80,0.608471,,12.73,"[3, 9, 17]",3.46
81,0.610728,,12.73,"[0, 11, 5]",3.45
82,0.612055,,12.73,"[4, 2, 15]",3.45
83,0.611126,,12.75,"[1, 8, 15]",3.47
84,0.610595,,12.71,"[6, 12, 4]",3.46
85,0.611259,,12.74,"[9, 1, 19]",3.46
86,0.614047,,12.7,"[7, 2, 4]",3.48
87,0.614578,,12.75,"[0, 11, 14]",3.47
88,0.612321,,12.69,"[15, 12, 18]",3.43
89,0.615109,,12.76,"[18, 9, 0]",3.47
90,0.611657,,12.7,"[14, 12, 3]",3.44
91,0.613914,,12.69,"[17, 14, 0]",3.44
92,0.61179,,12.74,"[17, 18, 3]",3.47
93,0.613781,,12.64,"[2, 15, 6]",3.42
94,0.615109,,12.7,"[11, 14, 10]",3.44
95,0.616437,,12.69,"[3, 13, 19]",3.46
96,0.617233,,12.68,"[18, 11, 9]",3.43
97,0.615242,,12.76,"[17, 8, 12]",3.46
98,0.618428,,12.71,"[4, 8, 12]",3.44
99,0.615773,,12.7,"[0, 1, 12]",3.45
100,0.61949,,12.79,"[0, 13, 8]",3.49
