round,test_acc,test_loss,elapsed_seconds,selected_clients,train_runtime_seconds
1,0.068906,,13.01,"[3, 16, 9]",3.79
2,0.131174,,12.5,"[8, 4, 3]",3.36
3,0.145247,,12.6,"[3, 9, 5]",3.44
4,0.186006,,12.6,"[11, 3, 13]",3.43
5,0.16171,,12.65,"[13, 15, 16]",3.48
6,0.220393,,12.61,"[19, 12, 3]",3.4
7,0.250398,,12.6,"[8, 5, 2]",3.39
8,0.261152,,12.68,"[11, 13, 16]",3.44
9,0.27111,,12.68,"[16, 18, 8]",3.43
10,0.229023,,12.62,"[8, 12, 15]",3.38
11,0.29461,,12.83,"[15, 19, 5]",3.42
12,0.299124,,12.65,"[18, 2, 5]",3.43
13,0.270446,,12.61,"[2, 4, 18]",3.39
14,0.211365,,12.65,"[17, 14, 2]",3.42
15,0.247212,,12.68,"[2, 9, 5]",3.42
16,0.280935,,12.59,"[10, 0, 14]",3.33
17,0.297132,,12.56,"[18, 14, 10]",3.32
18,0.267791,,12.64,"[5, 0, 1]",3.43
19,0.340945,,12.63,"[17, 12, 19]",3.4
20,0.398566,,12.62,"[7, 10, 15]",3.36
21,0.297398,,12.7,"[11, 14, 19]",3.44
22,0.342671,,12.66,"[17, 6, 19]",3.43
23,0.32966,,12.61,"[3, 19, 6]",3.41
24,0.408656,,12.73,"[3, 15, 0]",3.45
25,0.416888,,12.64,"[11, 4, 18]",3.38
26,0.461099,,12.75,"[1, 16, 9]",3.48
27,0.431891,,12.64,"[6, 8, 18]",3.4
28,0.425119,,12.67,"[16, 8, 5]",3.41
29,0.340813,,12.69,"[0, 5, 11]",3.43
30,0.384891,,12.65,"[13, 1, 19]",3.42
31,0.40932,,12.54,"[13, 10, 19]",3.32
32,0.390998,,12.61,"[10, 19, 7]",3.35
33,0.408789,,12.73,"[13, 6, 19]",3.45
34,0.420738,,12.75,"[16, 3, 9]",3.48
35,0.484997,,12.71,"[12, 5, 17]",3.41
36,0.467074,,12.66,"[7, 12, 8]",3.4
37,0.409453,,12.66,"[2, 12, 8]",3.39
38,0.392326,,12.7,"[2, 6, 17]",3.43
39,0.420738,,12.67,"[15, 1, 6]",3.44
40,0.435077,,12.6,"[2, 4, 9]",3.39
41,0.409851,,12.68,"[0, 12, 2]",3.41
42,0.463224,,12.61,"[7, 10, 3]",3.35
43,0.407329,,12.72,"[12, 9, 17]",3.43
44,0.469729,,12.73,"[13, 2, 0]",3.46
45,0.475969,,12.71,"[16, 5, 12]",3.43
46,0.4688,,12.66,"[9, 7, 4]",3.44
47,0.462161,,12.61,"[10, 15, 9]",3.35
48,0.447292,,12.59,"[10, 7, 14]",3.36
49,0.488317,,12.74,"[15, 1, 16]",3.46
50,0.448354,,12.69,"[19, 3, 5]",3.41
51,0.5077,,12.71,"[7, 0, 8]",3.44
52,0.453532,,12.7,"[7, 8, 0]",3.42
53,0.436537,,12.6,"[10, 6, 18]",3.34
54,0.416091,,12.69,"[7, 12, 1]",3.42
55,0.412108,,12.55,"[8, 10, 1]",3.29
56,0.45778,,12.62,"[10, 7, 13]",3.34
57,0.45632,,12.68,"[11, 2, 12]",3.4
58,0.461896,,12.69,"[11, 13, 2]",3.41
59,0.417286,,12.59,"[16, 10, 11]",3.33
60,0.454328,,12.68,"[2, 14, 16]",3.43
61,0.488051,,12.76,"[18, 17, 7]",3.45
62,0.502523,,12.63,"[4, 7, 12]",3.41
63,0.512878,,12.69,"[16, 6, 3]",3.44
64,0.510621,,12.67,"[2, 13, 11]",3.4
65,0.491768,,12.58,"[15, 10, 7]",3.34
66,0.467738,,12.68,"[14, 3, 19]",3.42
67,0.501726,,12.65,"[6, 2, 12]",3.38
68,0.480085,,12.71,"[13, 1, 7]",3.46
69,0.480085,,12.68,"[19, 13, 14]",3.42
70,0.512878,,12.63,"[4, 7, 11]",3.41
71,0.528678,,12.68,"[5, 9, 11]",3.42
72,0.467339,,12.68,"[14, 5, 2]",3.42
73,0.494557,,12.58,"[6, 3, 10]",3.32
74,0.496017,,12.55,"[10, 17, 12]",3.31
75,0.449681,,12.52,"[5, 6, 10]",3.31
76,0.493494,,12.71,"[7, 14, 15]",3.49
77,0.526819,,12.66,"[19, 1, 2]",3.43
78,0.536378,,12.73,"[7, 11, 9]",3.44
79,0.454063,,12.6,"[10, 17, 14]",3.35
80,0.447823,,12.68,"[3, 9, 17]",3.44
81,0.485396,,12.77,"[0, 11, 5]",3.47
82,0.492034,,12.71,"[4, 2, 15]",3.42
83,0.51102,,12.69,"[1, 8, 15]",3.42
84,0.527084,,12.67,"[6, 12, 4]",3.38
85,0.512878,,12.73,"[9, 1, 19]",3.46
86,0.520446,,12.68,"[7, 2, 4]",3.41
87,0.501859,,12.73,"[0, 11, 14]",3.47
88,0.492167,,12.7,"[15, 12, 18]",3.41
89,0.507169,,12.72,"[18, 9, 0]",3.45
90,0.505842,,12.7,"[14, 12, 3]",3.41
91,0.473579,,12.73,"[17, 14, 0]",3.45
92,0.47743,,12.77,"[17, 18, 3]",3.44
93,0.534519,,12.73,"[2, 15, 6]",3.46
94,0.47411,,12.58,"[11, 14, 10]",3.31
95,0.525757,,12.67,"[3, 13, 19]",3.42
96,0.543946,,12.66,"[18, 11, 9]",3.42
97,0.541025,,12.65,"[17, 8, 12]",3.39
98,0.545141,,12.66,"[4, 8, 12]",3.37
99,0.473579,,12.65,"[0, 1, 12]",3.41
100,0.521774,,12.67,"[0, 13, 8]",3.41
