round,test_acc,test_loss,elapsed_seconds,selected_clients,train_runtime_seconds
1,0.261683,,22.84,"[3, 16, 9]",9.63
2,0.455921,,22.39,"[8, 4, 3]",9.28
3,0.530669,,22.38,"[3, 9, 5]",9.27
4,0.568242,,22.4,"[11, 3, 13]",9.28
5,0.587626,,22.45,"[13, 15, 16]",9.34
6,0.613516,,22.41,"[19, 12, 3]",9.3
7,0.613383,,22.38,"[8, 5, 2]",9.27
8,0.633962,,22.43,"[11, 13, 16]",9.31
9,0.633298,,22.37,"[16, 18, 8]",9.26
10,0.636883,,22.36,"[8, 12, 15]",9.26
11,0.643787,,22.33,"[15, 19, 5]",9.22
12,0.647902,,22.37,"[18, 2, 5]",9.26
13,0.648433,,22.35,"[2, 4, 18]",9.24
14,0.65547,,22.38,"[17, 14, 2]",9.28
15,0.652284,,22.36,"[2, 9, 5]",9.27
16,0.661312,,22.32,"[10, 0, 14]",9.21
17,0.662639,,22.34,"[18, 14, 10]",9.24
18,0.666224,,22.31,"[5, 0, 1]",9.22
19,0.663967,,22.43,"[17, 12, 19]",9.32
20,0.665428,,22.41,"[7, 10, 15]",9.29
21,0.665959,,22.37,"[11, 14, 19]",9.27
22,0.671535,,22.35,"[17, 6, 19]",9.25
23,0.673261,,22.44,"[3, 19, 6]",9.26
24,0.672862,,22.39,"[3, 15, 0]",9.28
25,0.677111,,22.33,"[11, 4, 18]",9.24
26,0.676978,,22.42,"[1, 16, 9]",9.32
27,0.676314,,22.35,"[6, 8, 18]",9.24
28,0.681227,,22.42,"[16, 8, 5]",9.3
29,0.680563,,22.36,"[0, 5, 11]",9.26
30,0.682156,,22.37,"[13, 1, 19]",9.26
31,0.683086,,22.4,"[13, 10, 19]",9.31
32,0.682554,,22.44,"[10, 19, 7]",9.33
33,0.682554,,22.41,"[13, 6, 19]",9.33
34,0.684679,,22.32,"[16, 3, 9]",9.22
35,0.68282,,22.41,"[12, 5, 17]",9.3
36,0.683218,,22.35,"[7, 12, 8]",9.25
37,0.682953,,22.51,"[2, 12, 8]",9.33
38,0.682422,,22.8,"[2, 6, 17]",9.57
39,0.685077,,22.96,"[15, 1, 6]",9.74
40,0.687732,,22.5,"[2, 4, 9]",9.34
41,0.686272,,22.63,"[0, 12, 2]",9.41
42,0.686006,,22.87,"[7, 10, 3]",9.78
43,0.687069,,22.42,"[12, 9, 17]",9.24
44,0.683351,,22.42,"[13, 2, 0]",9.3
45,0.684148,,22.38,"[16, 5, 12]",9.27
46,0.682687,,22.67,"[9, 7, 4]",9.35
47,0.68282,,22.38,"[10, 15, 9]",9.25
48,0.687467,,22.34,"[10, 7, 14]",9.23
49,0.681492,,22.31,"[15, 1, 16]",9.22
50,0.687732,,22.37,"[19, 3, 5]",9.27
