round,test_acc,test_loss,elapsed_seconds,selected_clients,train_runtime_seconds
1,0.082847,,22.92,"[3, 16, 9]",9.69
2,0.209241,,22.51,"[8, 4, 3]",9.35
3,0.235263,,22.47,"[3, 9, 5]",9.31
4,0.405868,,22.53,"[11, 3, 13]",9.38
5,0.362454,,22.55,"[13, 15, 16]",9.32
6,0.415029,,22.44,"[19, 12, 3]",9.31
7,0.46641,,22.44,"[8, 5, 2]",9.29
8,0.515135,,22.48,"[11, 13, 16]",9.33
9,0.50385,,22.48,"[16, 18, 8]",9.33
10,0.504116,,22.41,"[8, 12, 15]",9.26
11,0.564259,,22.46,"[15, 19, 5]",9.33
12,0.507302,,22.43,"[18, 2, 5]",9.29
13,0.534918,,22.54,"[2, 4, 18]",9.39
14,0.53505,,22.68,"[17, 14, 2]",9.42
15,0.531466,,23.13,"[2, 9, 5]",9.82
16,0.520181,,22.9,"[10, 0, 14]",9.69
17,0.509161,,22.86,"[18, 14, 10]",9.6
18,0.546734,,22.66,"[5, 0, 1]",9.52
19,0.587493,,22.45,"[17, 12, 19]",9.29
20,0.599841,,22.5,"[7, 10, 15]",9.31
21,0.57581,,22.53,"[11, 14, 19]",9.36
22,0.607276,,22.45,"[17, 6, 19]",9.31
23,0.600903,,22.49,"[3, 19, 6]",9.33
24,0.616968,,22.54,"[3, 15, 0]",9.38
25,0.615905,,22.5,"[11, 4, 18]",9.32
26,0.627456,,22.56,"[1, 16, 9]",9.36
27,0.603824,,22.53,"[6, 8, 18]",9.32
28,0.606081,,22.47,"[16, 8, 5]",9.34
29,0.590281,,22.5,"[0, 5, 11]",9.34
30,0.624535,,22.52,"[13, 1, 19]",9.32
31,0.596256,,22.37,"[13, 10, 19]",9.25
32,0.59838,,22.44,"[10, 19, 7]",9.3
33,0.594264,,22.44,"[13, 6, 19]",9.31
34,0.628518,,22.48,"[16, 3, 9]",9.35
35,0.636219,,22.4,"[12, 5, 17]",9.25
36,0.614312,,22.47,"[7, 12, 8]",9.32
37,0.612586,,22.44,"[2, 12, 8]",9.25
38,0.618295,,22.45,"[2, 6, 17]",9.31
39,0.623606,,22.46,"[15, 1, 6]",9.32
40,0.623473,,22.46,"[2, 4, 9]",9.32
41,0.618694,,22.41,"[0, 12, 2]",9.27
42,0.63821,,22.63,"[7, 10, 3]",9.44
43,0.625996,,22.71,"[12, 9, 17]",9.46
44,0.625066,,22.63,"[13, 2, 0]",9.4
45,0.623473,,22.43,"[16, 5, 12]",9.29
46,0.63675,,22.49,"[9, 7, 4]",9.34
47,0.631439,,22.45,"[10, 15, 9]",9.26
48,0.625465,,22.39,"[10, 7, 14]",9.25
49,0.640998,,22.51,"[15, 1, 16]",9.36
50,0.636086,,22.45,"[19, 3, 5]",9.31
