round,test_acc,test_loss,elapsed_seconds,selected_clients,train_runtime_seconds
1,0.239644,,22.67,"[3, 16, 9]",9.39
2,0.433086,,22.53,"[8, 4, 3]",9.37
3,0.518587,,22.5,"[3, 9, 5]",9.35
4,0.565321,,22.55,"[11, 3, 13]",9.39
5,0.593468,,22.52,"[13, 15, 16]",9.37
6,0.611524,,22.57,"[19, 12, 3]",9.42
7,0.620287,,22.61,"[8, 5, 2]",9.38
8,0.634493,,22.51,"[11, 13, 16]",9.37
9,0.638741,,22.57,"[16, 18, 8]",9.4
10,0.643255,,22.52,"[8, 12, 15]",9.38
11,0.648433,,22.57,"[15, 19, 5]",9.42
12,0.656001,,22.49,"[18, 2, 5]",9.36
13,0.655868,,22.59,"[2, 4, 18]",9.42
14,0.65932,,22.61,"[17, 14, 2]",9.41
15,0.661577,,22.7,"[2, 9, 5]",9.55
16,0.665162,,22.75,"[10, 0, 14]",9.5
17,0.669278,,22.82,"[18, 14, 10]",9.56
18,0.67034,,23.15,"[5, 0, 1]",9.91
19,0.673394,,23.0,"[17, 12, 19]",9.68
20,0.670871,,23.23,"[7, 10, 15]",9.94
21,0.675916,,23.0,"[11, 14, 19]",9.82
22,0.677775,,22.46,"[17, 6, 19]",9.31
23,0.678837,,22.59,"[3, 19, 6]",9.41
24,0.67897,,22.52,"[3, 15, 0]",9.34
25,0.680696,,22.51,"[11, 4, 18]",9.37
26,0.68136,,22.56,"[1, 16, 9]",9.41
27,0.683617,,22.56,"[6, 8, 18]",9.41
28,0.683484,,22.49,"[16, 8, 5]",9.33
29,0.685475,,22.53,"[0, 5, 11]",9.37
30,0.682289,,22.62,"[13, 1, 19]",9.39
31,0.686936,,22.48,"[13, 10, 19]",9.35
32,0.684811,,22.49,"[10, 19, 7]",9.34
33,0.687334,,22.49,"[13, 6, 19]",9.34
34,0.687732,,22.49,"[16, 3, 9]",9.35
35,0.690653,,22.53,"[12, 5, 17]",9.4
36,0.686803,,22.52,"[7, 12, 8]",9.37
37,0.689193,,22.43,"[2, 12, 8]",9.3
38,0.685475,,22.54,"[2, 6, 17]",9.39
39,0.687732,,22.58,"[15, 1, 6]",9.41
40,0.689458,,22.54,"[2, 4, 9]",9.4
41,0.690388,,22.61,"[0, 12, 2]",9.42
42,0.687998,,22.7,"[7, 10, 3]",9.49
43,0.683882,,22.5,"[12, 9, 17]",9.36
44,0.688662,,22.53,"[13, 2, 0]",9.4
45,0.688263,,23.11,"[16, 5, 12]",9.8
46,0.687069,,22.95,"[9, 7, 4]",9.64
47,0.686803,,23.13,"[10, 15, 9]",9.84
48,0.684811,,23.04,"[10, 7, 14]",9.75
49,0.683882,,22.91,"[15, 1, 16]",9.7
50,0.686936,,22.97,"[19, 3, 5]",9.73
