round,test_acc,test_loss,elapsed_seconds,selected_clients,train_runtime_seconds
1,0.438529,,17.01,"[3, 16, 9]",6.62
2,0.576208,,16.55,"[8, 4, 3]",6.24
3,0.600637,,16.49,"[3, 9, 5]",6.25
4,0.621083,,16.58,"[11, 3, 13]",6.29
5,0.631705,,16.53,"[13, 15, 16]",6.24
6,0.640467,,16.6,"[19, 12, 3]",6.28
7,0.649894,,16.46,"[8, 5, 2]",6.22
8,0.652549,,16.53,"[11, 13, 16]",6.23
9,0.654408,,16.51,"[16, 18, 8]",6.2
10,0.65693,,16.48,"[8, 12, 15]",6.25
11,0.663038,,16.48,"[15, 19, 5]",6.24
12,0.657461,,16.53,"[18, 2, 5]",6.25
13,0.660913,,16.5,"[2, 4, 18]",6.25
14,0.667153,,16.5,"[17, 14, 2]",6.2
15,0.667021,,16.45,"[2, 9, 5]",6.22
16,0.670871,,16.53,"[10, 0, 14]",6.25
17,0.675119,,16.5,"[18, 14, 10]",6.2
18,0.675385,,16.49,"[5, 0, 1]",6.25
19,0.675518,,16.52,"[17, 12, 19]",6.22
20,0.675252,,16.47,"[7, 10, 15]",6.25
21,0.683749,,16.5,"[11, 14, 19]",6.21
22,0.681625,,16.5,"[17, 6, 19]",6.2
23,0.688131,,16.52,"[3, 19, 6]",6.23
24,0.684148,,16.55,"[3, 15, 0]",6.26
25,0.684148,,16.53,"[11, 4, 18]",6.23
26,0.689724,,16.49,"[1, 16, 9]",6.25
27,0.687201,,16.55,"[6, 8, 18]",6.25
28,0.688263,,16.47,"[16, 8, 5]",6.25
29,0.68906,,16.49,"[0, 5, 11]",6.25
30,0.690122,,16.53,"[13, 1, 19]",6.23
31,0.690653,,16.46,"[13, 10, 19]",6.23
32,0.687334,,16.53,"[10, 19, 7]",6.25
33,0.690388,,16.58,"[13, 6, 19]",6.28
34,0.691848,,16.52,"[16, 3, 9]",6.22
35,0.691052,,16.6,"[12, 5, 17]",6.3
36,0.69676,,16.48,"[7, 12, 8]",6.24
37,0.690786,,16.47,"[2, 12, 8]",6.24
38,0.686405,,16.55,"[2, 6, 17]",6.25
39,0.69052,,16.47,"[15, 1, 6]",6.24
40,0.689591,,16.51,"[2, 4, 9]",6.24
41,0.690786,,16.48,"[0, 12, 2]",6.24
42,0.693309,,16.48,"[7, 10, 3]",6.24
43,0.695698,,16.54,"[12, 9, 17]",6.24
44,0.69384,,16.47,"[13, 2, 0]",6.23
45,0.693574,,16.54,"[16, 5, 12]",6.23
46,0.687865,,16.47,"[9, 7, 4]",6.24
47,0.691052,,16.5,"[10, 15, 9]",6.2
48,0.691583,,16.48,"[10, 7, 14]",6.25
49,0.692512,,16.52,"[15, 1, 16]",6.22
50,0.69145,,16.47,"[19, 3, 5]",6.24
