round,test_acc,test_loss,elapsed_seconds,selected_clients,train_runtime_seconds
1,0.203797,,16.78,"[3, 16, 9]",6.44
2,0.343999,,16.47,"[8, 4, 3]",6.2
3,0.395645,,16.41,"[3, 9, 5]",6.14
4,0.474907,,16.46,"[11, 3, 13]",6.19
5,0.424987,,16.51,"[13, 15, 16]",6.24
6,0.486192,,16.42,"[19, 12, 3]",6.14
7,0.523633,,16.36,"[8, 5, 2]",6.16
8,0.564923,,16.43,"[11, 13, 16]",6.16
9,0.54222,,16.47,"[16, 18, 8]",6.21
10,0.548327,,16.36,"[8, 12, 15]",6.1
11,0.572358,,16.43,"[15, 19, 5]",6.16
12,0.533988,,16.42,"[18, 2, 5]",6.15
13,0.563994,,16.41,"[2, 4, 18]",6.15
14,0.563994,,16.48,"[17, 14, 2]",6.21
15,0.552045,,16.38,"[2, 9, 5]",6.18
16,0.521375,,16.36,"[10, 0, 14]",6.09
17,0.513011,,16.29,"[18, 14, 10]",6.09
18,0.573022,,16.41,"[5, 0, 1]",6.21
19,0.589352,,16.44,"[17, 12, 19]",6.17
20,0.60077,,16.37,"[7, 10, 15]",6.1
21,0.573022,,16.51,"[11, 14, 19]",6.25
22,0.645645,,16.5,"[17, 6, 19]",6.22
23,0.616835,,16.41,"[3, 19, 6]",6.14
24,0.629315,,16.44,"[3, 15, 0]",6.18
25,0.626925,,16.33,"[11, 4, 18]",6.13
26,0.63675,,16.49,"[1, 16, 9]",6.21
27,0.608736,,16.51,"[6, 8, 18]",6.24
28,0.61949,,16.4,"[16, 8, 5]",6.14
29,0.582448,,16.4,"[0, 5, 11]",6.14
30,0.634227,,16.43,"[13, 1, 19]",6.15
31,0.615773,,16.36,"[13, 10, 19]",6.11
32,0.613914,,16.28,"[10, 19, 7]",6.08
33,0.606745,,16.42,"[13, 6, 19]",6.16
34,0.643521,,16.48,"[16, 3, 9]",6.21
35,0.639272,,16.44,"[12, 5, 17]",6.17
36,0.632501,,16.36,"[7, 12, 8]",6.15
37,0.625465,,16.3,"[2, 12, 8]",6.1
38,0.631306,,16.42,"[2, 6, 17]",6.15
39,0.646176,,16.41,"[15, 1, 6]",6.15
40,0.619756,,16.34,"[2, 4, 9]",6.14
41,0.623871,,16.4,"[0, 12, 2]",6.14
42,0.645911,,16.32,"[7, 10, 3]",6.11
43,0.625465,,16.38,"[12, 9, 17]",6.12
44,0.615242,,16.45,"[13, 2, 0]",6.19
45,0.638609,,16.39,"[16, 5, 12]",6.18
46,0.64299,,16.37,"[9, 7, 4]",6.18
47,0.616835,,16.35,"[10, 15, 9]",6.08
48,0.624934,,16.36,"[10, 7, 14]",6.09
49,0.648035,,16.38,"[15, 1, 16]",6.17
50,0.627456,,16.41,"[19, 3, 5]",6.15
