round,test_acc,test_loss,elapsed_seconds,selected_clients,train_runtime_seconds
1,0.078731,,22.72,"[3, 16, 9]",9.48
2,0.177509,,22.52,"[8, 4, 3]",9.37
3,0.225836,,22.47,"[3, 9, 5]",9.33
4,0.388078,,22.54,"[11, 3, 13]",9.39
5,0.3671,,22.63,"[13, 15, 16]",9.43
6,0.418348,,22.42,"[19, 12, 3]",9.29
7,0.459241,,22.44,"[8, 5, 2]",9.29
8,0.522438,,22.53,"[11, 13, 16]",9.37
9,0.509692,,22.51,"[16, 18, 8]",9.36
10,0.507833,,22.41,"[8, 12, 15]",9.27
11,0.553372,,22.49,"[15, 19, 5]",9.35
12,0.505443,,22.46,"[18, 2, 5]",9.33
13,0.545273,,22.42,"[2, 4, 18]",9.28
14,0.54129,,22.55,"[17, 14, 2]",9.32
15,0.545672,,22.64,"[2, 9, 5]",9.5
16,0.529607,,22.42,"[10, 0, 14]",9.27
17,0.513941,,22.39,"[18, 14, 10]",9.25
18,0.556824,,22.51,"[5, 0, 1]",9.33
19,0.584307,,22.47,"[17, 12, 19]",9.29
20,0.609665,,22.43,"[7, 10, 15]",9.3
21,0.578332,,22.52,"[11, 14, 19]",9.34
22,0.613648,,22.73,"[17, 6, 19]",9.52
23,0.608603,,22.93,"[3, 19, 6]",9.74
24,0.617897,,22.92,"[3, 15, 0]",9.72
25,0.618428,,22.98,"[11, 4, 18]",9.75
26,0.629979,,22.47,"[1, 16, 9]",9.34
27,0.611259,,22.42,"[6, 8, 18]",9.28
28,0.612321,,22.4,"[16, 8, 5]",9.28
29,0.593601,,22.48,"[0, 5, 11]",9.35
30,0.628784,,22.48,"[13, 1, 19]",9.33
31,0.601699,,22.41,"[13, 10, 19]",9.27
32,0.609533,,22.51,"[10, 19, 7]",9.31
33,0.609002,,22.5,"[13, 6, 19]",9.37
34,0.630643,,22.58,"[16, 3, 9]",9.39
35,0.638741,,22.46,"[12, 5, 17]",9.27
36,0.629182,,22.4,"[7, 12, 8]",9.27
37,0.62427,,22.39,"[2, 12, 8]",9.25
38,0.620685,,22.51,"[2, 6, 17]",9.38
39,0.634227,,22.58,"[15, 1, 6]",9.44
40,0.62573,,22.43,"[2, 4, 9]",9.3
41,0.626261,,22.47,"[0, 12, 2]",9.33
42,0.63914,,22.43,"[7, 10, 3]",9.29
43,0.632767,,22.5,"[12, 9, 17]",9.35
44,0.634758,,22.47,"[13, 2, 0]",9.33
45,0.631306,,22.53,"[16, 5, 12]",9.4
46,0.636352,,22.54,"[9, 7, 4]",9.34
47,0.633165,,22.43,"[10, 15, 9]",9.29
48,0.628253,,22.41,"[10, 7, 14]",9.26
49,0.642193,,22.52,"[15, 1, 16]",9.39
50,0.63582,,22.44,"[19, 3, 5]",9.3
